symbol,entry_time,side,setup,atr_pct,body_atr,close_pos,dow,entry_dist_atr,gap_atr,hour,htf_align,range_atr,setup_choch,side_long,stop_atr,stop_pct,trend_age,vol_z,gross_r,net_r,win
ADAUSDT,2026-06-10T12:59:59Z,SHORT,BOS,1.5351705138405531,0.3630056314731537,0.2105263157894783,3,0.6050093857886006,0.6453433448411695,4,-0,0.7663452219988987,0,0,1.0083489763143345,1.533742331288345,28,-0.5911480353673965,-1,-1.05938,0
WLDUSDT,2026-06-11T00:59:59Z,SHORT,BOS,4.340042846340135,0.678931776981514,0.2941176470588239,3,1.1563056826716422,0.34477004299842595,21,-0,0.991876892933932,0,0,0.689540085996849,2.849627356422612,6,0.10776848900274298,-1,-1.032283076923077,0
XLMUSDT,2026-06-11T01:59:59Z,SHORT,CHoCH,1.5948730934226565,0.34095113419736667,0.31578947368421745,3,0.8182827220736744,0.03409511341974234,20,-0,0.6478071549750004,1,0,1.636565444147358,2.5764895330112716,0,-0.7049430004145033,-1,-1.03563125,0
OPGUSDT,2026-06-11T09:59:59Z,SHORT,CHoCH,3.039099563394654,0.5334708661907237,0.216216216216216,4,0.618826204781236,0.17071067718103633,8,-0,0.7895368819622663,1,0,1.2376524095624837,3.691915977084677,0,-0.6988621772095739,-1,-1.0250775862068964,0
BTCUSDT,2026-06-11T12:59:59Z,LONG,BOS,0.7455388469168025,0.5083341742725903,0.7217046760631501,4,0.8770149322687084,0.5163021952775294,8,0,0.7043815787846025,0,1,1.1384469797330243,0.8543425562550796,20,-0.46460920233526165,0,-0.10534416123961506,0
SOLUSDT,2026-06-12T23:59:59Z,SHORT,BOS,1.0485783029489226,0.17191026983164354,0.20833333333331977,5,0.37247225130188755,0.25786540474746533,21,-0,0.6876410793265538,0,0,0.8738772049774874,0.9127637288642817,52,-0.8163327517650025,-1,-1.0993016393442623,0
ADAUSDT,2026-06-13T06:59:59Z,SHORT,BOS,1.2586829700996511,0.3277176571535343,0.3684210526315705,6,0.5618016979774855,0.2809008489887493,5,-0,0.8895193551310069,0,0,1.123603395954971,1.404330017554133,101,-0.8949352919710994,-1,-1.0647874999999996,0
XRPUSDT,2026-06-13T02:59:59Z,LONG,CHoCH,0.7778387530517655,0.6089748147258726,0.8593749999999799,6,0.620252126109684,0.1578823593733864,1,0,0.7217479285640128,1,1,0.7555798627154725,0.5905685323931379,0,-0.5636927921596424,2,1.8462044776119437,1
OPGUSDT,2026-06-13T15:59:59Z,LONG,BOS,2.9443290943314397,0.24945013050687126,0.4285714285714281,6,0.6907849767882597,0.21107318735196676,14,0,1.611831612505941,0,1,1.3048160672667157,3.921568627450981,6,1.8131875998721234,0,-0.022949999999999998,0
TRXUSDT,2026-06-14T07:59:59Z,SHORT,BOS,0.22997788429419022,0.5507592391933589,0.20000000000008883,0,0.5507592391933589,0.963828668588531,1,-0,0.6884490489917751,0,0,1.789967527378646,0.4111321948134166,129,-1.0660284148978485,-1,-1.2196076923076884,0
OPGUSDT,2026-06-14T09:59:59Z,LONG,BOS,2.7394784226446234,0.3057227722987246,0.7600000000000044,0,0.38724884491172007,0.06114455445974378,8,0,0.5095379538312076,0,1,1.5897584159533666,4.401805869074494,24,-0.7071386409934729,4,3.976753846153846,1
BNBUSDT,2026-06-14T20:59:59Z,SHORT,BOS,0.40649313788323344,0.45263781373581474,0.19323671497582975,0,0.9011978093298691,0.20796872522996265,19,-0,0.844108355345178,0,0,0.8808087186210211,0.3567358668186045,5,0.061889062347439704,-1,-1.2529875000000037,0
ADAUSDT,2026-06-14T21:59:59Z,SHORT,BOS,0.9179080690855091,0.45501408247575226,0.37499999999999567,0,0.6500201178224981,0.5850181060402555,13,-0,1.0400321885159898,0,0,1.0400321885160078,0.9489916963226678,133,2.104519246204825,-1,-1.095537499999999,0
OPGUSDT,2026-06-15T02:59:59Z,LONG,BOS,5.939416305594145,0.8800612239863141,0.9055472263868062,0,3.3222311205483437,0.6270436220902501,22,0,3.6687552274929573,0,1,0.9020627545859743,6.674806674806674,38,3.719920793030584,-1,-1.012783536585366,0
SNDKBUSDT,2026-06-15T04:59:59Z,LONG,BOS,0.7307139763379265,0.04418956765960419,0.2648556876060881,1,0.10288914261047676,0.3917701968629865,3,0,0.3884724679331814,0,1,1.4239593518975893,1.0412898682833278,62,2.7019021739937297,1,0.9128687355257051,1
BNBUSDT,2026-06-15T22:59:59Z,LONG,CHoCH,0.5414267142612159,0.928470594989633,0.6488188976377937,1,1.2260573241529764,0.09225188604062023,11,0,1.8896757301872378,1,1,0.7171840172836483,0.39089744213581956,0,1.9856051301089959,0,-0.23023941908713996,0
BTCUSDT,2026-06-15T22:59:59Z,LONG,BOS,0.5533417401568632,0.8948653395498899,0.9243902931846235,1,1.242087209316373,0.3606882899247754,12,0,1.3436826613975463,0,1,0.7418477104933625,0.41333615708105953,53,0.34697708144565803,0,-0.2177404479578351,0
WLDUSDT,2026-06-15T18:59:59Z,SHORT,BOS,3.2637210646170067,0.8404018365832063,0.2731277533039647,1,0.8832248601033711,0.9367536395035815,16,-0,1.2151032923846377,0,0,1.520217334965805,4.822550517914753,66,1.8774941587476308,-1,-1.019362323943662,0
XLMUSDT,2026-06-16T03:59:59Z,SHORT,BOS,3.487071993619706,0.4092866971168449,0.4,2,0.4092866971168449,0.027285779807790417,2,-0,0.6821444951947415,0,0,1.2005743115427443,4.127579737335836,126,-0.7066498585583847,-1,-1.0225045454545454,0
NEARUSDT,2026-06-16T11:59:59Z,LONG,BOS,1.890925810896429,0.8902341507882388,0.8333333333333347,2,0.9538223044159627,0.02119605120925073,8,0,1.1445867652991535,0,1,0.8478420483697467,1.632653061224491,3,1.0079708411202557,-1,-1.054425,0
SNDKBUSDT,2026-06-16T14:59:59Z,LONG,BOS,1.034740805161576,1.6974757060794152,0.9143086494079874,2,1.8642041401779954,0.2487407989795148,8,0,2.245426451657472,0,1,0.18970992096082787,0.20016165073931613,91,0.07921537394969319,-1,-1.4489365795724427,0
ZECUSDT,2026-06-17T18:59:59Z,LONG,BOS,2.031943653748321,0.545648727773471,0.9944289693593287,3,0.7094420167615324,0.5732765114582067,17,0,0.7084553102013642,0,1,1.0893240424266055,2.2458196020993455,92,-0.4073498391399904,-1,-1.0393744565217393,0
BNBUSDT,2026-06-18T01:59:59Z,LONG,BOS,0.7630991187186636,0.15012079463651096,0.4824120603015236,4,0.20886371427687622,0.05439159225960112,0,0,0.4329570743864269,0,1,1.3641411338707923,1.0426366901689472,61,-0.713032463381052,-1,-1.0856196172248807,0
