symbol,entry_time,side,setup,atr_pct,body_atr,close_pos,dow,entry_dist_atr,gap_atr,hour,htf_align,range_atr,setup_choch,side_long,stop_atr,stop_pct,trend_age,vol_z,gross_r,net_r,win
ETHUSDT,2026-01-06T21:59:59Z,SHORT,CHoCH,0.8785533791727073,1.9773990532699115,0.09222812814250321,2,2.250168308592209,0.06445330967798342,17,-0,2.4787817053505745,1,0,0.7036449719541463,0.6062056313312661,0,0.9555199186589597,-1,-1.1491644736842088,0
WLDUSDT,2026-01-06T21:59:59Z,SHORT,BOS,1.8915108556246614,1.2568994343036402,0.11707317073170546,2,1.5689572248893766,0.1040192635285756,17,-0,1.7769957519465278,0,0,0.7801444764643314,1.4331210191082815,0,1.2749471776391426,-1,-1.0635,0
BTCUSDT,2026-01-06T21:59:59Z,SHORT,BOS,0.5944544566591811,2.026021117773909,0.04018258916627762,2,2.1742974756426756,1.0633727257736194,17,-0,2.265324061744227,0,0,1.8414149400284647,1.0806694401014163,0,1.7964599224345439,-1,-1.0839817110027223,0
SOLUSDT,2026-01-07T02:59:59Z,LONG,BOS,1.234250100711938,0.7394944096846608,0.4712990936555895,2,0.9012588118031809,0.3466380045396812,21,0,1.9122863250439273,0,1,0.6874987090037227,0.8580905682146136,7,0.3386979868078969,0,-0.10488403361344308,0
BLURUSDT,2026-01-07T01:59:59Z,LONG,CHoCH,1.473849814622068,1.2317613008400017,0.891891891891896,2,1.354937430923996,0.41058710027999584,21,0,1.5191722710359887,1,1,0.7595861355180016,1.142327878974999,0,1.3409189074288763,0,-0.07878648648648601,0
ADAUSDT,2026-01-07T03:59:59Z,SHORT,BOS,1.6194031563225086,0.40655472559861366,0.09615384615384656,3,0.7077063741901818,0.3463243958803067,1,-0,0.7829942863380739,0,0,0.7378215390493353,1.1812921890067405,8,-0.6623173996703489,0,-0.07618775510204144,0
ADAUSDT,2026-01-07T09:59:59Z,LONG,CHoCH,1.3707334864395815,0.3983698397932787,0.686274509803923,3,0.6062149735984618,0.8833418186720423,8,0,0.8833418186720423,1,1,1.4375955088192036,1.9870720612879995,0,-0.2766976387897477,-1,-1.0445927710843375,0
XLMUSDT,2026-01-07T03:59:59Z,SHORT,BOS,1.5761497856443047,0.29262189235746766,0.26666666666666483,3,0.585243784714928,0.3990298532147226,1,-0,0.7980597064294452,0,0,1.0640796085725936,1.6618196925633586,8,-0.6835301393246878,2,1.9472425,1
XRPUSDT,2026-01-06T21:59:59Z,SHORT,BOS,1.814442746164746,1.8111662524007752,0.016049382716050366,2,1.9882913266713715,1.1475709037250157,17,-0,2.0207226782983847,0,0,1.6564936523334974,2.9009567914718963,2,2.059263291490836,2,1.9703757530120483,1
ZECUSDT,2026-01-08T15:59:59Z,SHORT,BOS,3.5309448586089003,2.559213053851651,0.09959532374100731,4,2.9293078824452308,0.8228392928216939,9,-0,3.253323710640796,0,0,1.4262547742242693,4.563965735149558,40,2.7673737865757833,-1,-1.0204196923076922,0
TRXUSDT,2026-01-09T06:59:59Z,SHORT,BOS,0.2579762336669132,0.6592391275487351,0.16666666666665125,5,0.6592391275487351,0.1318478255097324,3,-0,0.7910869530584677,0,0,1.7140217316266677,0.4414261460101759,58,-0.6385232683059511,0,-0.2038846153846204,0
WLDUSDT,2026-01-08T15:59:59Z,SHORT,BOS,1.5768682090746353,0.586782918372057,0.29069767441860045,4,1.0517807027423791,0.09964238236506814,12,-0,0.9521383203772987,0,0,1.1846372125624536,1.837540786536138,43,0.844471507001735,-1,-1.0496785046728976,0
XLMUSDT,2026-01-09T15:59:59Z,SHORT,BOS,1.1693734018759059,1.2018042524676695,0.2916666666666693,5,1.2769170182469016,0.037556382889610766,8,-0,1.8027063787015147,0,0,0.8262404235715307,0.9519688446559963,63,1.479579134193699,0,-0.09454090909090876,0
NEARUSDT,2026-01-10T16:59:59Z,LONG,CHoCH,1.1112758011482178,0.42049842095305673,0.8333333333333334,6,0.7358722366678493,0.26281151309565465,9,0,0.6307476314295851,1,1,0.6833099340487113,0.7656065959952827,0,-0.44922325304382016,0,-0.11755384615384705,0
XLMUSDT,2026-01-10T16:59:59Z,LONG,CHoCH,0.872358668548259,0.2011083317177214,0.8571428571428713,6,0.7541562439414344,0.05027708292943733,10,0,0.7038791610119971,1,1,0.553047912223727,0.48565121412804313,0,0.02854388165302657,0,-0.18531818181817886,0
BTCUSDT,2026-01-10T14:59:59Z,LONG,CHoCH,0.37528844493400676,0.1731760538441408,0.9613713182037674,6,0.6152546503844507,0.04327201074370874,10,0,0.30378418389906214,1,1,0.6162814438597423,0.2318185690569353,0,-0.4603905341680817,-1,-1.3875346455943127,0
