symbol,entry_time,side,setup,atr_pct,body_atr,close_pos,dow,entry_dist_atr,gap_atr,hour,htf_align,range_atr,setup_choch,side_long,stop_atr,stop_pct,trend_age,vol_z,gross_r,net_r,win
WLDUSDT,2025-07-11T08:59:59Z,SHORT,BOS,2.2518393015029154,0.6179240571257754,0.08695652173913085,5,0.8650936799760873,0.4119493714171866,7,-0,0.9474835542595247,0,0,1.7384263473805268,3.839854413102822,139,0.9284973086416181,1,0.9772616113744076,1
ADAUSDT,2025-07-15T11:59:59Z,LONG,BOS,1.5589964923458548,0.21036510358131266,0.3493975903614485,2,0.25419116682742515,0.17530425298443045,10,0,0.7275126498853834,0,1,1.3673731732785517,2.140211277267108,123,-0.3125317002040191,-1,-1.0413519230769233,0
XRPUSDT,2025-07-15T12:59:59Z,LONG,BOS,1.6474705272000634,0.7184928995037513,0.8253968253968288,2,0.7580620736793205,0.3790310368396649,10,0,0.9184213584960961,0,1,1.2287269875571443,2.0498922937947386,79,-0.30159093111630847,0,-0.04390474576271174,0
VANRYUSDT,2025-07-16T01:59:59Z,LONG,BOS,2.186169175193971,0.37188710704841493,0.8333333333333391,3,0.6198118450806887,0.12396236901614117,0,0,0.7437742140968212,0,1,1.73795241360625,3.8516483516483526,46,-0.5529283393358524,-1,-1.0226666191155491,0
TRXUSDT,2025-07-15T22:59:59Z,LONG,BOS,0.38713041336353005,0.1715781373697546,0.4285714285713946,2,0.2573672060546319,0.17157813736980224,21,0,0.6005234807941887,0,1,1.1152578929035002,0.43218085106381904,26,-0.768908587860309,0,-0.208246153846159,0
BTCUSDT,2025-07-16T02:59:59Z,LONG,BOS,0.7976982122839609,0.2913364741189423,0.9325794398703853,2,0.6001427101523298,0.5730762824359126,22,0,0.6435298533235311,0,1,0.9720933048716202,0.7791672202624474,127,-1.179410486200507,2,1.8830920606777,1
ADAUSDT,2025-07-16T02:59:59Z,LONG,BOS,1.6922156995781423,0.23647107406305692,0.8666666666666691,3,0.7330603295954826,0.12611790616695845,0,0,0.7094132221891708,0,1,1.6947093641185702,2.9038357644516433,137,-0.45824781153074573,1,0.9683065116279069,1
DOGEUSDT,2025-07-17T11:59:59Z,LONG,BOS,1.8522102668501954,0.6696843271222893,0.7449664429530197,4,0.8321077646706008,0.007496466348384353,9,0,1.1169734859091853,0,1,0.7746348559996563,1.457246274620407,25,0.4880950302784368,0,-0.06176032258064532,0
ETHUSDT,2025-07-17T12:59:59Z,LONG,BOS,1.3166006834321324,0.14561050962541375,0.6624685138539068,4,0.869037005253026,0.6866383638462941,7,0,1.3118163159142584,0,1,0.9862303352389781,1.313500271384353,43,0.0962518177358655,-1,-1.0678192092919365,0
ZECUSDT,2025-07-16T02:59:59Z,LONG,BOS,1.5018283917034145,0.19821652133822332,1,2,0.5184124404230406,0.3659381932397819,22,1,0.5184124404230406,0,1,1.3417733752125662,2.0309254558042986,265,-0.6680253504731357,3,2.953585227272727,1
BNBUSDT,2025-07-18T02:59:59Z,LONG,BOS,0.860180182267197,0.6538920893349991,0.9001956947162447,5,0.7300736919759727,0.47454789978438133,1,0,0.8110166447820025,0,1,1.282390311122995,1.1100578384096398,60,0.9770974692747298,1,0.9182231435643557,1
BLURUSDT,2025-07-18T00:59:59Z,LONG,BOS,1.7282262774938297,0.44657062141733905,0.5333333333333389,4,0.5103664244769602,0.5741622275365725,22,0,0.9569370458942904,0,1,1.671450040162024,2.9143492769744133,287,-0.4548207032443715,1,0.968418320610687,1
DOGEUSDT,2025-07-19T11:59:59Z,LONG,BOS,2.633091958574084,0.7583093960192381,0.68304668304668,6,0.8299606775328685,0.597094012613577,4,1,1.2150863156686293,0,1,0.9434085399294496,2.5395804870208116,68,1.559534910845944,-1,-1.034738924050633,0
BLURUSDT,2025-07-19T08:59:59Z,LONG,BOS,1.8053603069808002,0.8568712405967952,1,6,0.9180763292108538,0.06120508861405013,3,0,0.9180763292108538,0,1,1.2363427900039534,2.2696629213483237,316,-0.8418653583499223,-1,-1.0389534653465344,0
VANRYUSDT,2025-07-20T10:59:59Z,LONG,BOS,1.8769672656586986,0.5408876568977621,0.7777777777777727,0,0.9465533995710884,0.27044382844888104,9,0,1.2169972280199788,0,1,0.9492578378555799,1.8139534883720962,15,3.1617494256319434,1,0.9496846153846155,1
SOLUSDT,2025-07-20T14:59:59Z,LONG,BOS,0.901096830962597,0.7518854345730747,0.905063291139254,0,0.8670936866447533,0.35775194064363985,13,0,0.9580475698592237,0,1,1.0004927153593295,0.9086403436312604,156,1.253764411518657,0,-0.09904909090909056,0
TRXUSDT,2025-07-20T17:59:59Z,LONG,BOS,0.46573762501001814,0.7401582031361036,0.7777777777777743,0,0.9420195312641487,0.13457421875200523,16,1,1.2111679687681967,0,1,0.7401582031360662,0.3462385898646315,141,1.9772402179071666,-1,-1.2592363636363793,0
BTCUSDT,2025-07-19T04:59:59Z,LONG,BOS,0.5344482857198709,0.19213350505420573,0.8027600677911139,6,0.3145929176582827,0.021585369086350503,3,0,0.3918890964817433,0,1,2.0729228513198277,1.10973590374829,204,-0.8015927628081557,-1,-1.0804003768518369,0
XLMUSDT,2025-07-19T19:59:59Z,LONG,BOS,1.7545565221450894,0.5264794291663966,0.7678571428571483,6,0.5264794291663966,0.3428238143409103,16,0,0.6856476286818138,0,1,1.2978330114334347,2.298352124891587,103,-0.2289644620122406,0,-0.03915849056603774,0
BTCUSDT,2025-07-21T08:59:59Z,LONG,BOS,0.44507475329155904,0.36406375174927147,0.38911906012332514,1,0.37656250213247244,1.3785895791640712,7,0,0.9677308071548254,0,1,1.642155095527928,0.7321087770644806,256,0.1848029008822511,-1,-1.122232551581844,0
XLMUSDT,2025-07-21T04:59:59Z,LONG,BOS,1.674447049623682,0.8388849663810319,0.5539568345323721,1,0.9499138589902881,1.320010167687804,2,0,1.714779563631825,0,1,1.7764622817480709,3.0226700251889103,137,2.622121843717135,0,-0.029775000000000065,0
ZECUSDT,2025-07-21T09:59:59Z,LONG,BOS,1.309615886033958,0.5864690275496682,0.9302325581395322,1,0.6702503171996157,0.33512515859981384,3,1,0.720519090989589,0,1,1.5248194716291374,2.014611467788363,19,1.3760986872288667,-1,-1.0439736263736261,0
BNBUSDT,2025-07-22T01:59:59Z,LONG,BOS,0.9765838512431445,0.28948257864155547,0.742388758782195,1,0.42484248809895026,0.07773143315375765,22,0,0.5722641716664143,0,1,0.828241822224456,0.8122174324466342,58,-1.363649813653128,0,-0.11080776699029216,0
BLURUSDT,2025-07-23T07:59:59Z,LONG,BOS,1.8659833833580683,0.7327854870430781,0.8000000000000014,3,0.7816378528459514,0.048852365802873235,4,0,0.9770473160574376,0,1,1.0356701550208882,1.9611470860314624,413,-0.46901708532732433,-1,-1.045191509433962,0
SOLUSDT,2025-07-24T04:59:59Z,LONG,BOS,1.602623935507004,0.5065011208193843,0.9840637450199123,4,0.6796918266479502,0.20260044832775742,0,0,0.8202050408107602,0,1,1.607732589955746,2.6049663789908486,37,-0.30654963297858834,-1,-1.0338493902439023,0
BTCUSDT,2025-07-24T10:59:59Z,LONG,BOS,0.5454240524838868,0.5542666817842727,0.9389251786536633,4,0.849792223399021,0.5707679512533882,8,0,0.9050691606945176,0,1,1.7314447088974079,0.9487691072496092,38,0.28374426450059104,0,-0.09485974966122304,0
ETHUSDT,2025-07-25T04:59:59Z,SHORT,BOS,1.365685182156588,0.4068414594179214,0.3718441732151781,5,0.7650166982147827,0.17124808176699982,3,-0,1.2178772616509426,0,0,1.1759306447139608,1.5893460150760823,21,1.131356465335757,-1,-1.057327064935065,0
