symbol,entry_time,side,setup,atr_pct,body_atr,close_pos,dow,entry_dist_atr,gap_atr,hour,htf_align,range_atr,setup_choch,side_long,stop_atr,stop_pct,trend_age,vol_z,gross_r,net_r,win
DOGEUSDT,2024-07-02T03:59:59Z,SHORT,BOS,0.7634075142888737,0.06377909778793661,0.7285714285714371,2,0.744089474192702,0.2870059400457664,1,-0,0.7440894741927168,0,0,0.6909402260361005,0.5244896312434533,4,-0.6581632422057853,0,-0.17159538461538154,0
ADAUSDT,2024-07-01T22:59:59Z,LONG,BOS,0.8386021463546776,0.35358356643919164,0.6499999999999972,1,0.7660977272849262,0.17679178321959582,16,0,1.1786118881306606,0,1,0.7660977272849262,0.6466053220591871,0,0.9475221087376947,5,4.857311538461538,1
VANRYUSDT,2024-07-02T03:59:59Z,SHORT,BOS,1.9313217123795479,0.648178361242688,0.2692307692307725,1,1.2201004446921166,0.19064069448314291,22,-0,0.9913316113123388,0,0,1.1064785907801558,2.087769784172653,0,-0.5764015410477701,0,-0.04310820124052396,0
NEARUSDT,2024-07-01T22:59:59Z,LONG,BOS,1.0723810906630489,0.12290586032319166,0.45098039215685526,1,0.4038335410619288,0.24581172064639892,16,0,0.8954569823547266,0,1,0.98324688258558,1.0590015128593049,0,0.3044789505581393,2,1.9136142857142857,1
VANRYUSDT,2024-07-03T01:59:59Z,LONG,CHoCH,1.3782665536125978,0.419392519223386,0.9166666666666532,2,0.99605723315554,0.3145443894175504,22,0,0.6290887788350863,1,1,0.577713195230228,0.8073260073260216,0,-0.30277168155097905,-1,-1.1107791288566224,0
ADAUSDT,2024-07-03T03:59:59Z,LONG,BOS,0.7378565356414464,0.58208031958552,0.8888888888888797,2,0.8084448883132191,0.9701338659758846,20,0,0.8731204793782888,0,1,1.1964984347035836,0.8881421027364331,28,-0.2603760015071109,-1,-1.1006351351351356,0
SOLUSDT,2024-07-03T03:59:59Z,LONG,BOS,1.1364833644206005,1.7086137027201505,0.7740259740259725,2,1.714366610810112,0.5120088200070407,18,0,2.2148696146372298,0,1,1.0182647319241362,1.1802360472094486,15,2.87655689858803,-1,-1.0755559322033894,0
BTCUSDT,2024-07-03T21:59:59Z,SHORT,BOS,0.7098203222276926,0.14617649506993233,0.09520024879920856,3,0.6188335241570165,0.8718594831252954,20,-0,0.6839452855018372,0,0,0.8908139777164097,0.6295524885963316,19,-0.2988658555447821,-1,-1.143658691499523,0
ETHUSDT,2024-07-04T01:59:59Z,LONG,CHoCH,0.7450267155066832,0.4837448718098411,0.6636971046770629,4,0.5535469841850781,0.40907284461771254,0,0,0.7288639175926771,1,1,1.7178624516535583,1.2851534867340442,0,-0.7772102076745894,-1,-1.0693305457122608,0
XRPUSDT,2024-07-04T01:59:59Z,LONG,BOS,0.7446432877806428,0.4012152872332996,0.5769230769230794,4,0.6591394004547075,0.4012152872332996,0,0,0.7451141048618329,0,1,1.2036458616998829,0.9007076989062797,43,-0.4946646469547264,-1,-1.099221428571429,0
